Period,Inflation (Can),Inflation (US),GDP (B$),Empl.Per. (M),CPI (Can),CPI (US),CC (Can),PC Util (Can),PC Util (US),Bus Conf (Can),Bus Conf (US),TSX,Retail YoY%,M3 T$,Gov Sp M$,EI (000s),Disp.Inc. M$,Consum.Cr. M$,Exports M$,Tourist Arr. (Persons)
2013-01-31,1.1774193548387095,1.9870967741935484,1734.6366451612903,17.55232258064516,122.65483870967742,232.8964193548387,55.44838709677419,80.69032258064516,76.99032258064516,-1.1712903225806452,3.2025806451612904,12735.548387096775,2.2709677419354835,1.6157737419354838,127017.54838709677,533630.6451612903,345335.1612903226,609768.2258064516,39462.261290322574,1222595.5161290322
2013-02-01,1.2,2.0,1734.805,17.5538,122.7,232.937,55.5,80.7,77.0,-1.18,3.2,12741.0,2.3,1.616247,127013.0,533450.0,345413.0,609905.0,39491.2,1222836.0
2013-02-02,1.1928571428571428,1.9821428571428572,1735.0205,17.55217857142857,122.70714285714286,232.91360714285716,55.44285714285714,80.70714285714286,77.00714285714285,-1.189642857142857,3.087857142857143,12743.07142857143,2.282142857142857,1.6164865714285714,127007.96428571429,533247.1428571428,345435.9285714286,609918.0,39510.50714285714,1232869.357142857
2013-02-03,1.1857142857142857,1.9642857142857142,1735.236,17.55055714285714,122.71428571428572,232.8902142857143,55.385714285714286,80.71428571428572,77.01428571428572,-1.1992857142857143,2.975714285714286,12745.142857142857,2.2642857142857142,1.616726142857143,127002.92857142857,533044.2857142857,345458.85714285716,609931.0,39529.81428571428,1242902.7142857143
2013-02-04,1.1785714285714286,1.9464285714285714,1735.4515000000001,17.548935714285715,122.72142857142858,232.86682142857143,55.32857142857143,80.72142857142858,77.02142857142857,-1.2089285714285714,2.863571428571429,12747.214285714286,2.2464285714285714,1.6169657142857143,126997.89285714286,532841.4285714285,345481.78571428574,609944.0,39549.12142857142,1252936.0714285714
2013-02-05,1.1714285714285715,1.9285714285714286,1735.6670000000001,17.547314285714286,122.72857142857143,232.84342857142857,55.27142857142857,80.72857142857143,77.02857142857142,-1.2185714285714284,2.751428571428572,12749.285714285714,2.2285714285714286,1.6172052857142858,126992.85714285714,532638.5714285715,345504.71428571426,609957.0,39568.42857142857,1262969.4285714286
2013-02-06,1.1642857142857141,1.9107142857142858,1735.8825,17.545692857142857,122.7357142857143,232.82003571428572,55.214285714285715,80.7357142857143,77.03571428571429,-1.2282142857142857,2.6392857142857142,12751.357142857143,2.2107142857142854,1.617444857142857,126987.82142857143,532435.7142857143,345527.64285714284,609970.0,39587.735714285714,1273002.7857142857
2013-02-07,1.157142857142857,1.8928571428571428,1736.098,17.544071428571428,122.74285714285715,232.79664285714287,55.15714285714286,80.74285714285715,77.04285714285714,-1.2378571428571428,2.5271428571428576,12753.42857142857,2.1928571428571426,1.6176844285714285,126982.78571428571,532232.8571428572,345550.5714285714,609983.0,39607.04285714286,1283036.142857143
2013-02-08,1.15,1.875,1736.3135,17.54245,122.75,232.77325000000002,55.1,80.75,77.05,-1.2475,2.415,12755.5,2.175,1.617924,126977.75,532030.0,345573.5,609996.0,39626.35,1293069.5
2013-02-09,1.1428571428571428,1.8571428571428572,1736.529,17.54082857142857,122.75714285714287,232.74985714285717,55.042857142857144,80.75714285714287,77.05714285714286,-1.2571428571428571,2.302857142857143,12757.57142857143,2.157142857142857,1.6181635714285714,126972.71428571429,531827.1428571428,345596.4285714286,610009.0,39645.65714285714,1303102.857142857
